Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,36.36,44.48,71.34,43.26,47.01,49.62,48.71,45.75,46.83,46.14,45.52
R&D,,,,,,,,,,,
Other,-36.36,-44.48,-71.34,-43.26,-47.01,-49.62,-48.71,-45.75,-46.83,-46.14,-45.52
Operating Margin,28.46,14.34,-28.85,26.62,24.56,22.98,25.1,22.71,27.87,31.01,32.26
Net Int Inc & Other,-1.66,,,,,,,,,,
EBT Margin,26.8,14.34,-28.85,26.62,24.56,22.98,25.1,22.71,27.87,31.01,32.26
