Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,80.29,80.11,80.85,81.21,81.21
Gross Margin,100.0,100.0,100.0,,100.0,100.0,19.71,19.89,19.15,18.79,18.79
SG&A,,,,,,,2.78,,0.04,0.04,0.04
R&D,,,,,,,,,,,
Other,89.41,93.54,98.55,,96.49,96.61,13.11,15.62,14.83,14.59,14.59
Operating Margin,10.59,6.46,1.45,3.63,3.51,3.39,3.81,4.27,4.28,4.16,4.16
Net Int Inc & Other,-0.19,-0.29,-0.35,-0.23,-0.16,-0.19,-0.22,-0.21,-0.19,-0.14,-0.14
EBT Margin,10.41,6.17,1.1,3.4,3.35,3.21,3.6,4.06,4.09,4.03,4.03
