Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,37.21,37.23,37.01,37.71,37.3,36.95,36.67
Net Margin %,,,,,21.71,21.09,17.88,17.87,22.71,20.52,17.61
Asset Turnover (Average),,,,,,0.19,0.2,0.18,0.12,0.13,0.13
Return on Assets %,,,,,,3.96,3.52,3.13,2.77,2.58,2.37
Financial Leverage (Average),,,,,,11.67,9.91,7.23,6.68,6.35,6.43
Return on Equity %,,,,,,46.25,37.55,25.66,19.18,16.8,14.98
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
