Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,148.89,33.04,36.91,24.02,-45.85,,,,,292.0,
3-Year Average,-6.95,21.05,65.5,31.21,-2.76,,-38.45,,,102.51,
5-Year Average,,79.48,7.98,24.67,24.94,,-16.91,,-13.15,29.03,
10-Year Average,,,,,,,22.12,,4.06,26.97,
