Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-7.96,-2.46,21.74,-11.61,23.85,-66.14,-9.19,84.41,50.45,39.67,-70.28
3-Year Average,-13.58,5.44,3.01,1.63,10.05,-28.17,-27.52,-17.23,36.07,57.07,
5-Year Average,,,-5.19,4.75,3.65,-15.14,-16.34,-9.1,1.1,3.56,
10-Year Average,,,,,,,,-7.16,2.91,3.61,
