Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-13.03,21.05,,,483.33,-35.51,-3.8,46.05,-50.0,123.42,-5.95
3-Year Average,12.07,13.13,,-56.03,-25.73,,53.53,-3.23,-11.1,17.73,
5-Year Average,57.02,97.3,,-36.69,-15.48,-20.39,-23.96,,21.45,0.24,
10-Year Average,19.42,23.07,,-7.84,21.06,11.81,22.48,-4.48,-12.31,-7.95,
