Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,95.19,94.58,94.08,96.62,95.09,96.79,95.01,93.5,93.96,95.85,96.65
Gross Margin,4.81,5.42,5.92,3.38,4.91,3.21,4.99,6.5,6.04,4.15,3.35
SG&A,1.16,1.03,0.81,0.75,0.7,0.55,0.64,0.85,0.93,1.0,1.0
R&D,,,,,,,,,,,
Other,,,,,,,,,,,
Operating Margin,3.65,4.39,5.11,2.63,4.21,2.66,4.35,5.65,5.11,3.15,2.35
Net Int Inc & Other,0.24,0.6,0.06,0.05,0.07,,-0.05,-0.05,-1.1,-0.28,-0.23
EBT Margin,3.89,4.99,5.17,2.68,4.28,2.66,4.31,5.6,4.01,2.87,2.12
