Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,424.33,111.14,160.08,-34.48,19.1,-33.82,-43.47,
Free Cash Flow Growth % YOY,,,,,94.6,180.78,-50.25,32.28,-46.81,-40.68,
Cap Ex as a % of Sales,,,1.16,0.54,1.45,1.45,2.36,2.17,3.77,2.31,1.57
Free Cash Flow/Sales %,,,-0.07,3.74,5.97,9.62,4.57,5.94,5.4,3.73,5.74
Free Cash Flow/Net Income,,,-0.03,3.82,0.59,1.34,0.67,1.46,0.96,10.82,2.9
