Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,-2.44,-3.44,-4.17,-4.17
Asset Turnover (Average),,,,,,,,1.13,1.13,1.16,1.16
Return on Assets %,,,,,,,,-2.74,-3.89,-4.83,-4.83
Financial Leverage (Average),,,,,,,,12.75,18.68,72.38,
Return on Equity %,,,,,,,,-34.98,-59.07,-147.74,-147.74
Return on Invested Capital %,,,,,,,,1.11,-0.16,-0.53,-0.53
Interest Coverage,,,,,,,,0.43,0.2,0.02,0.02
