Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-51.52,-22.62,-32.64,-91.8,2948.57,,,,,
Free Cash Flow Growth % YOY,,-58.72,-28.13,-33.56,,,,,,,
Cap Ex as a % of Sales,,2.89,3.88,2.97,2.59,5.34,10.52,9.19,5.97,6.42,5.39
Free Cash Flow/Sales %,37.98,16.55,14.67,10.53,-1.35,42.65,-18.21,-9.33,-12.85,-16.59,-12.19
Free Cash Flow/Net Income,1.96,1.12,1.22,1.93,-0.44,0.78,7.5,0.91,0.74,0.51,0.35
