Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,-889.0,,,908.0,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,139.49,42.45,33.85,19.38,14.05,15.08,20.42,35.61,31.66,39.67,30.73
Free Cash Flow/Sales %,-107.49,-0.77,-2.4,12.08,14.18,19.24,24.85,13.49,-4.8,0.26,11.77
Free Cash Flow/Net Income,-4.12,-0.04,-0.45,0.46,0.53,0.75,1.2,0.36,-0.16,0.01,0.36
