Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,27.13,-36.06,-41.13,70.46,-2.69,14.56,-48.11,
Free Cash Flow Growth % YOY,,,,8.76,-39.13,-64.5,181.07,-4.63,53.64,-65.8,
Cap Ex as a % of Sales,,,3.75,6.04,4.33,3.73,4.47,4.43,3.09,3.15,3.27
Free Cash Flow/Sales %,,,8.22,8.6,5.5,1.9,5.6,5.31,8.39,2.92,5.98
Free Cash Flow/Net Income,,,2.96,1.15,-0.23,0.33,1.99,-3.08,3.89,-0.32,-0.75
