Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,-334.0,-625.0,,,
Free Cash Flow Growth % YOY,,,,,,,17.0,,,,
Cap Ex as a % of Sales,,,,,3.56,2.95,2.34,2.95,3.24,3.71,3.71
Free Cash Flow/Sales %,,,,,8.89,9.72,9.1,7.04,9.27,6.1,6.1
Free Cash Flow/Net Income,,,,,36.07,-4.12,-11.96,10.57,1.16,1.18,1.18
