Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,18.56,14.35,24.22,5.94,-7.33,15.55,13.82,-5.51,-49.55,101.56,
Free Cash Flow Growth % YOY,29.36,21.43,30.24,2.7,-11.52,19.78,16.86,-8.4,-59.39,110.17,
Cap Ex as a % of Sales,3.13,2.31,1.95,2.49,2.72,2.43,2.16,2.41,2.71,4.33,4.58
Free Cash Flow/Sales %,14.01,15.19,19.77,18.65,14.54,16.71,18.75,16.01,6.32,11.67,7.25
Free Cash Flow/Net Income,0.83,0.89,1.2,1.07,0.9,1.11,1.68,3.01,0.44,0.8,0.49
