Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,23.06,23.96,20.07,16.3
Net Margin %,,,,,,,,-0.25,2.97,9.63,10.25
Asset Turnover (Average),,,,,,,,2.15,1.89,1.96,1.31
Return on Assets %,,,,,,,,-0.55,5.61,18.91,13.38
Financial Leverage (Average),,,,,,,,5.9,2.8,2.05,1.13
Return on Equity %,,,,,,,,-5.15,20.92,45.02,17.97
Return on Invested Capital %,,,,,,,,4.17,11.34,25.62,16.26
Interest Coverage,,,,,,,,,,,
