Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,7.13,18.0,-34.94,23.39,26.93,-0.85,-9.13,-6.0,-34.73,-15.91,12.76
3-Year Average,10.72,8.8,-6.31,-1.79,0.63,15.8,4.57,-5.39,-17.7,-19.8,
5-Year Average,14.62,14.11,0.83,0.67,5.19,3.58,-1.69,5.81,-6.84,-14.21,
10-Year Average,12.9,16.84,6.8,5.11,8.58,8.96,5.91,3.29,-3.16,-5.0,
