Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,352.0,,-50.0,-438.0,658.0,147.0,
Free Cash Flow Growth % YOY,,,,,251.0,,-621.0,-512.0,,80.0,
Cap Ex as a % of Sales,0.41,0.39,0.6,0.27,0.31,0.17,0.41,0.43,0.29,0.33,0.27
Free Cash Flow/Sales %,4.12,4.63,6.56,4.44,4.44,4.93,4.16,4.08,4.47,4.58,5.99
Free Cash Flow/Net Income,1.32,1.31,1.96,1.69,1.6,3.52,2.35,2.05,1.84,1.35,1.64
