Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,0.0,0.0,,0.0,0.0,0.0,,,,47.0,47.0
Gross Margin %,,,,,,,,,,-8.7,-8.7
Operating Income AUD Mil,-3.0,-1.0,-1.0,-1.0,-1.0,-5.0,-2.0,-4.0,-10.0,-12.0,-12.0
Operating Margin %,,-206.1,,,,,,,,-24.5,-24.5
Net Income AUD Mil,-2.0,-0.0,-1.0,-0.0,-1.0,-5.0,-2.0,-5.0,-8.0,-7.0,-7.0
Earnings Per Share AUD,-0.07,-0.01,-0.03,-0.01,-0.03,-0.07,-0.02,-0.03,-0.04,-0.02,-0.02
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,33.0,37.0,36.0,39.0,44.0,65.0,92.0,151.0,215.0,300.0,300.0
Book Value Per Share * AUD,0.1,0.1,0.12,0.11,0.08,0.08,0.05,0.07,0.07,0.1,0.24
Operating Cash Flow AUD Mil,-1.0,-1.0,-1.0,-1.0,-3.0,-4.0,-5.0,-6.0,-14.0,25.0,25.0
Cap Spending AUD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0,-0.0,-6.0,-115.0,-115.0
Free Cash Flow AUD Mil,-1.0,-2.0,-1.0,-1.0,-3.0,-5.0,-7.0,-6.0,-21.0,-90.0,-90.0
Free Cash Flow Per Share * AUD,-0.03,-0.04,-0.03,-0.03,-0.03,-0.06,-0.07,-0.07,-0.04,-0.1,
Working Capital AUD Mil,3.0,3.0,3.0,2.0,-2.0,-1.0,1.0,9.0,17.0,-17.0,
