Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,32.18,15.55,-1.0,-17.42,16.31,-1.85,-5.61,-0.41,24.47,-3.89,
Free Cash Flow Growth % YOY,60.64,32.25,-0.1,-6.32,11.82,44.4,-4.11,-25.95,35.79,-2.46,
Cap Ex as a % of Sales,6.75,6.36,6.8,4.5,4.95,2.22,1.91,3.86,4.18,3.97,4.28
Free Cash Flow/Sales %,4.85,5.84,6.35,5.45,5.51,7.64,7.05,5.45,7.37,7.31,6.81
Free Cash Flow/Net Income,0.95,1.17,1.16,0.98,1.09,1.56,1.46,0.86,1.41,1.12,1.03
