Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,68.57,23.73,-34.25,-29.17,41.18,41.67,2.94,2.86,,-19.44,
3-Year Average,,,11.1,-16.78,-13.04,12.31,27.22,14.47,1.92,-6.08,
5-Year Average,,,,,6.52,2.88,-0.84,8.45,16.19,3.86,
10-Year Average,,,,,,,,,,5.18,
