Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,15.9,144.51,-61.8,77.19,-21.16,-38.4,13.48,26.06,-45.83,175.95,
3-Year Average,,107.9,2.68,18.28,-18.89,-4.88,-18.01,-4.13,-8.15,23.51,
5-Year Average,,,,43.49,8.62,-4.28,-17.9,4.25,-17.75,5.67,
10-Year Average,17.2,29.58,15.35,23.73,,,,,8.63,7.13,
