Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-811.0,,,,,,,,,,
Free Cash Flow Growth % YOY,-796.0,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,,,,
Free Cash Flow/Sales %,24.53,-5.98,-0.69,9.3,4.89,14.6,10.34,14.59,6.61,8.68,3.72
Free Cash Flow/Net Income,8.12,0.17,-0.57,0.99,-0.69,1.62,0.74,5.11,0.51,2.08,-1.48
