Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,100.59,20.61,9.58,-18.58,29.48,,,,
3-Year Average,,,,,38.4,2.47,4.93,,14.09,,
5-Year Average,,,,,,,22.82,,5.79,,
10-Year Average,,,,,,,,,,,
