Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,53.61,194.11,93.59,-41.46,42.62,-19.34,13.89,-30.18,112.2,
Free Cash Flow Growth % YOY,,,,,,,,6149.63,,,
Cap Ex as a % of Sales,16.64,3.55,25.32,30.47,14.84,28.91,21.86,6.86,277.77,1.43,2.24
Free Cash Flow/Sales %,-7.29,8.48,-0.69,-0.61,4.14,-1.21,0.3,19.38,-261.27,15.93,23.68
Free Cash Flow/Net Income,0.41,0.73,-0.05,-0.03,0.22,-0.06,0.01,1.01,-9.95,0.86,1.09
