Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,14.59,119.47,-14.12,-64.76,666.36,
3-Year Average,,,,,,,,29.26,-12.75,32.36,
5-Year Average,,,,,,,,,,42.29,
10-Year Average,,,,,,,,,,,
