Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-86.73,617.99,-34.98,-52.15,81.67,4.73,5.28,-28.96,17.38,3.77
3-Year Average,,-34.4,10.52,-9.6,37.0,-17.32,-3.08,26.06,-7.82,-4.25,
5-Year Average,,-12.07,23.86,9.11,-15.53,-8.49,37.34,-9.02,-7.4,10.8,
10-Year Average,,,25.57,9.8,5.21,13.04,10.1,6.29,0.59,-3.37,
