Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,13.41,17.08,9.84,-22.84,11.14,-8.48,,,-48.15,23.04,
3-Year Average,106.95,46.89,13.4,-0.26,-1.97,-7.76,,-17.13,-31.43,,
5-Year Average,,,62.69,21.85,4.58,0.18,,-13.37,-19.99,-18.35,
10-Year Average,,,,,,,,18.72,-1.26,-7.59,
