Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,75.9,43.75,0.53,17.34,17.34,1.54,43.87,13.79,-3.76,-1.64,
3-Year Average,43.23,-23.8,36.48,19.25,11.45,11.82,19.68,18.46,16.36,2.51,
5-Year Average,,,33.54,-12.19,28.47,15.1,15.12,18.01,13.42,9.49,
10-Year Average,,,,,,,,25.53,-0.2,18.6,
