Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,12.26,0.42,9.1,14.1,5.69,-95.58,685.48,,,,
3-Year Average,16.48,10.76,7.14,7.72,9.57,-62.37,-28.41,,3.63,,
5-Year Average,17.56,14.16,11.6,11.08,8.2,-43.34,-14.51,,-44.64,,
10-Year Average,14.85,13.41,13.19,13.91,12.95,-18.39,-1.21,,-21.59,,
