Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,53.76,59.67,47.9,41.09,44.04,40.28,39.99,36.66,37.46,35.9,35.9
R&D,,,,,,,,,,,
Other,13.27,17.49,17.26,20.99,26.4,18.4,16.89,20.86,20.59,20.42,20.42
Operating Margin,30.14,13.65,30.9,34.34,26.89,36.14,37.41,38.07,39.11,39.2,39.2
Net Int Inc & Other,-2.82,-9.19,-3.94,-3.58,-2.67,-5.18,-5.71,-4.41,-2.84,-4.48,-4.48
EBT Margin,30.14,13.65,30.9,34.34,26.89,36.14,37.41,38.07,39.11,39.2,39.2
