Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,41.02,118.16,-15.53,-17.38,1.49,27.88,5.41,18.41,37.63,30.11,29.01
Asset Turnover (Average),0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.13
Return on Assets %,4.33,14.03,-1.87,-2.11,0.17,2.99,0.6,2.21,4.64,3.77,3.71
Financial Leverage (Average),5.73,3.64,3.81,3.75,3.07,2.34,2.46,2.55,2.68,2.52,2.77
Return on Equity %,23.98,62.0,-6.94,-7.96,0.58,7.93,1.44,5.52,12.15,9.8,10.08
Return on Invested Capital %,8.88,19.07,0.98,0.78,3.0,5.49,2.57,4.29,7.22,6.4,6.35
Interest Coverage,,,,,,,0.96,1.01,1.83,1.86,1.9
