Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,30.4,-10.55,-32.09,130.43,14.62,-29.95,-41.76,-47.44,17.07,-5.43,
3-Year Average,20.59,12.11,-7.47,11.86,21.5,22.76,-22.38,-40.15,-28.97,-16.51,
5-Year Average,58.11,30.65,1.27,17.13,15.91,2.36,-6.06,-10.75,-22.05,-24.99,
10-Year Average,21.08,17.11,10.98,,14.06,27.22,10.79,-4.93,-4.45,-6.76,
