Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,64.35,56.1,68.47,63.18,56.71,57.53,63.63,64.4,75.36,79.83,64.86
Days Inventory,,,,,,,,,,,
Payables Period,36.82,18.23,21.81,15.46,10.98,9.58,7.64,8.55,12.19,23.59,332.94
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,5.67,6.51,5.33,5.78,6.44,6.34,5.74,5.67,4.84,4.57,5.63
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,79.13,79.51,57.82,73.58,102.44,100.14,95.83,88.75,58.58,29.12,80.85
Asset Turnover,0.71,0.81,0.63,0.66,0.76,0.75,0.69,0.66,0.41,0.24,0.3
