Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,13.41,57.49,-23.21,31.4,33.16,-1.12,10.03,72.28,-28.26,-9.08,13.29
3-Year Average,,25.35,11.11,16.7,10.35,20.05,13.15,23.3,10.79,3.97,
5-Year Average,,,,14.72,19.13,15.91,7.89,26.81,12.36,4.1,
10-Year Average,,,,,,,,,13.53,11.36,
