Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,38.93,44.48,34.84,33.63,35.55,35.74,36.11,34.23,34.9,40.06,40.06
Gross Margin,61.07,55.52,65.16,66.37,64.45,64.26,63.89,65.77,65.1,59.94,59.94
SG&A,16.09,16.54,14.14,13.59,14.68,15.04,15.87,13.94,13.49,13.53,13.53
R&D,20.65,22.18,17.83,16.89,18.95,19.48,19.54,18.56,19.11,18.96,18.96
Other,0.12,2.66,0.6,0.07,0.32,1.14,2.21,9.08,2.45,6.79,6.79
Operating Margin,24.2,14.14,32.59,35.81,30.51,28.59,26.27,24.19,30.05,20.66,20.66
Net Int Inc & Other,1.59,0.63,0.06,-0.35,-0.39,2.36,-0.81,-0.6,-2.08,-4.44,-4.44
EBT Margin,25.79,14.76,32.65,35.46,30.12,30.96,25.46,23.58,27.97,16.22,16.22
