Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,-26.78,-24.62,-24.62
Asset Turnover (Average),,,,,,,,,0.59,1.44,1.44
Return on Assets %,-31.71,42.25,9.66,8.32,-8.7,-10.24,-64.25,-17.11,-15.71,-35.51,-35.51
Financial Leverage (Average),2.84,1.02,1.1,1.08,1.08,1.07,1.05,2.12,1.74,1.73,1.73
Return on Equity %,-88.18,65.16,10.33,9.04,-9.4,-11.02,-68.1,-27.29,-29.69,-61.59,-61.59
Return on Invested Capital %,-32.26,65.11,9.51,7.25,-12.03,-12.34,-68.62,-28.02,-27.44,-61.61,-61.61
Interest Coverage,-5.55,-48.65,,,,,,,-10.42,-500.51,-500.51
