Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,12.17,,,-32.76,-23.86,144.0,-15.44,18.09,-6.16,12.39,
Free Cash Flow Growth % YOY,37.29,,,-46.59,-84.26,1032.43,-23.39,41.74,-10.77,19.95,
Cap Ex as a % of Sales,5.22,5.78,3.98,3.43,4.02,4.79,4.48,4.6,4.7,4.72,5.03
Free Cash Flow/Sales %,2.39,-7.78,11.98,5.07,0.57,6.41,4.82,7.59,6.81,8.09,7.23
Free Cash Flow/Net Income,0.41,-1.15,10.73,1.39,0.09,0.98,0.81,1.28,1.01,1.0,0.86
