Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.32,-18.71,37.7,8.5,-24.83,,,-5.55,-34.0,29.04,4000.0
3-Year Average,-2.36,1.71,7.93,6.69,3.94,,-3.11,4.56,,-7.0,
5-Year Average,8.15,-4.06,0.83,9.47,0.5,,6.33,-1.39,-10.73,-0.54,
10-Year Average,,,,17.2,13.4,,1.0,-0.29,-1.14,-0.02,
