Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,280.16,,,120.84,12.99,22.95,27.53,10.21
3-Year Average,,,,,,48.48,23.89,,45.31,21.0,
5-Year Average,,,,,,,,52.2,21.44,,
10-Year Average,,,,,,,,,,,
