Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,5.79,5.54,4.44,11.06,-1.64,7.9,0.87,3.77,4.9,4.53,0.65
3-Year Average,7.44,3.03,5.26,6.98,4.49,5.63,2.3,4.14,3.17,4.4,
5-Year Average,7.29,7.09,6.82,4.87,4.96,5.38,4.43,4.29,3.11,4.37,
10-Year Average,8.78,8.67,6.83,7.21,6.36,6.55,6.06,5.84,3.99,4.66,
