Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.85,-53.92,113.88,20.66,-48.96,69.68,38.4,-22.89,2.38,2.9,-105.21
3-Year Average,25.99,2.17,3.0,5.95,9.62,1.48,6.23,21.89,2.99,-6.7,
5-Year Average,109.46,-6.76,14.54,22.44,-7.62,0.59,25.34,2.21,-1.1,13.79,
10-Year Average,10.81,1.73,15.1,14.71,,45.16,8.1,8.2,10.04,2.53,
