Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,12.68,11.9,66.77,17.47,14.1,13.3
Net Margin %,,,,,,13.74,14.2,5.22,13.28,12.92,12.69
Asset Turnover (Average),,,,,,,0.35,0.39,0.36,0.35,0.36
Return on Assets %,,,,,,,4.98,2.04,4.83,4.52,4.53
Financial Leverage (Average),,,,,,,2.59,2.66,2.1,2.25,2.45
Return on Equity %,,,,,,,12.92,5.36,11.16,9.84,10.57
Return on Invested Capital %,,,,,,,11.24,4.7,10.63,9.84,10.57
Interest Coverage,,,,,,,,,,,
