Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,34.32,-93.3,294.12,-2.39,,,21.59,17.11,
3-Year Average,,244.94,256.44,,-29.2,-36.35,,31.91,41.93,,
5-Year Average,,,,29.88,64.28,,,-9.52,61.54,26.73,
10-Year Average,,,17.26,,,,,,44.85,44.29,
