Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,-62.0,,,,,,,,
Free Cash Flow Growth % YOY,739.0,,,,,,,,,,
Cap Ex as a % of Sales,6.26,6.71,3.3,3.25,3.62,3.33,3.99,5.07,0.07,1.15,1.24
Free Cash Flow/Sales %,40.67,22.3,24.82,68.66,81.97,41.87,66.9,35.37,29.16,34.05,37.71
Free Cash Flow/Net Income,2.36,-0.28,-1.71,-7.49,-21.17,2.02,3.29,1.6,1.48,1.63,1.72
