Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,4.37,-21.71,,,-23.07,13.47,15.34,8.11,8.43,12.0,18.4
3-Year Average,4.95,-4.7,,-5.5,-6.05,,0.23,12.26,10.58,9.5,
5-Year Average,4.15,-0.02,,-1.38,-7.49,-5.93,1.65,,3.37,11.43,
10-Year Average,4.64,1.31,,-0.54,-1.55,-1.02,0.81,0.6,0.97,1.53,
