Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,9.0,6.0,3.0,1.0,0.0,0.0,,,,,
Gross Margin %,93.5,66.9,,,-34.8,-49.3,,,,,
Operating Income AUD Mil,-6.0,-28.0,-6.0,-3.0,-3.0,-2.0,-4.0,-2.0,-1.0,-3.0,-3.0
Operating Margin %,-68.0,-500.1,-227.5,-304.2,-621.6,-769.7,,,,,
Net Income AUD Mil,-6.0,-29.0,-6.0,-3.0,-3.0,-2.0,-5.0,-2.0,-1.0,-3.0,-3.0
Earnings Per Share AUD,-1.02,-3.09,-0.61,-0.36,-0.25,-0.16,-0.27,-0.05,-0.01,-0.02,-0.02
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,6.0,9.0,9.0,9.0,11.0,13.0,17.0,39.0,60.0,155.0,155.0
Book Value Per Share * AUD,4.48,1.56,0.93,0.47,0.26,0.37,0.32,0.1,0.05,0.03,0.01
Operating Cash Flow AUD Mil,1.0,2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,-6.0,-3.0,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,-5.0,-1.0,-3.0,-4.0,-2.0,-3.0,-2.0,-3.0,-1.0,-1.0,-1.0
Free Cash Flow Per Share * AUD,-0.74,-0.15,-0.35,-0.39,-0.32,-0.24,-0.17,-0.1,-0.02,,
Working Capital AUD Mil,8.0,8.0,6.0,1.0,3.0,0.0,1.0,-0.0,-1.0,1.0,
