Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,70.93,70.62,70.68,71.16,71.65,71.95,72.22,71.93,71.66,72.05,72.56
Gross Margin,29.07,29.38,29.32,28.84,28.35,28.05,27.78,28.07,28.34,27.95,27.44
SG&A,22.5,22.44,22.17,21.76,21.52,20.95,20.7,21.18,21.1,20.88,20.52
R&D,,,,,,,,,,,
Other,,0.36,0.05,0.16,,0.17,,,0.33,0.4,0.13
Operating Margin,6.57,6.57,7.1,6.92,6.82,6.92,7.08,6.9,6.9,6.67,6.79
Net Int Inc & Other,-0.06,-0.37,-0.17,-0.25,-0.15,-0.17,-0.13,-0.06,-0.12,-0.14,-0.25
EBT Margin,6.51,6.2,6.92,6.67,6.67,6.76,6.95,6.84,6.78,6.53,6.54
