Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,,,,11.13,58.78,13.34,
3-Year Average,,,,,,,39.41,,,25.99,
5-Year Average,,,,,,,,,36.74,,
10-Year Average,,,,,,,,,,,
