Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,59.43,59.0,58.24,58.15,56.54,56.24,56.17,56.71,57.57,59.41,60.38
Gross Margin,40.57,41.0,41.76,41.85,43.46,43.76,43.83,43.29,42.43,40.59,39.62
SG&A,30.12,29.57,31.07,29.87,30.43,31.12,30.09,29.78,29.39,29.55,30.04
R&D,,,,,,,,,,,
Other,,,,,,,,,,,
Operating Margin,10.45,11.43,10.69,11.98,13.03,12.64,13.74,13.52,13.04,11.04,9.58
Net Int Inc & Other,0.17,-0.14,0.68,-0.09,-0.01,-0.15,-0.1,-0.13,-0.5,-0.99,-1.07
EBT Margin,10.62,11.29,11.37,11.89,13.02,12.49,13.64,13.39,12.54,10.05,8.51
