Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,164.9,-43.79,-88.35,1489.25,-37.11,74.26,19.54,-30.85,,
3-Year Average,,44.26,-13.12,-44.22,1.35,5.22,159.22,9.42,12.94,,
5-Year Average,,,182.72,-27.77,3.96,11.64,2.67,19.4,70.47,,
10-Year Average,,10.63,10.46,,,-0.33,,83.73,10.97,,
