Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,76.05,-19.24,-60.75,,,-24.95,
3-Year Average,,,,,50.76,,-17.67,,28.88,59.97,
5-Year Average,,-0.78,,,-9.19,,1.66,,24.93,5.35,
10-Year Average,,,,9.75,22.46,18.7,0.44,,,-2.19,
