Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,64.44,66.82,71.51,71.42,69.99,70.51,69.72,63.37,76.97,68.25,70.05
Gross Margin,35.56,33.18,28.49,28.58,30.01,29.49,30.28,36.63,23.03,31.75,29.95
SG&A,,,,,26.33,28.63,28.0,33.72,31.91,34.05,29.43
R&D,,,,,,,,,,,
Other,28.66,25.94,31.99,25.13,,-0.07,-19.01,0.84,8.29,11.4,8.44
Operating Margin,6.95,6.64,-4.73,3.24,3.68,0.93,21.28,2.07,-17.17,-15.34,-9.66
Net Int Inc & Other,-0.74,-0.62,-0.6,-1.4,-0.89,-0.72,-0.42,-0.22,-0.81,-1.84,-2.24
EBT Margin,6.21,6.02,-5.34,1.84,2.79,0.21,20.86,1.85,-17.98,-17.18,-11.91
