Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-90.67,716.67,-27.21,62.62,10.34,-78.39,455.42,-28.85,63.11,-27.66,0.69
3-Year Average,-50.29,-5.38,-17.85,113.02,9.31,-27.07,9.83,-5.12,86.11,-5.67,
5-Year Average,-33.7,2.89,-6.09,0.06,-0.1,18.18,9.41,8.92,8.98,0.16,
10-Year Average,,6.47,10.76,3.36,6.22,-11.48,6.1,1.13,4.42,0.03,
