Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.76,18.27,12.21,-25.76,37.92,-4.24,-5.42,1.46,-83.41,61.25,56.99
3-Year Average,52.94,16.09,16.05,-0.49,4.74,-0.65,7.69,-2.78,-45.81,-35.26,
5-Year Average,7.08,14.92,36.55,5.44,9.86,5.41,0.8,-1.21,-26.8,-24.47,
10-Year Average,7.99,8.64,9.6,5.35,9.28,6.24,7.63,16.15,-12.14,-8.91,
