Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-43.77,,,73.3,-82.86,5.11,251.85,11.38,27.11,71.64
3-Year Average,,-2.71,,-16.44,21.6,,-32.16,-14.1,60.3,70.79,
5-Year Average,,,,-0.9,10.62,-29.57,-20.18,,4.12,-2.14,
10-Year Average,,13.13,,-7.28,9.93,6.95,,-1.48,1.58,4.04,
