Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-58.88,,,,59.77,40.87,-7.78,-50.9,273.09,
Free Cash Flow Growth % YOY,,-59.95,,,,533.21,71.92,-25.35,-69.79,719.77,
Cap Ex as a % of Sales,0.15,0.35,0.35,1.89,4.26,2.94,2.3,3.45,2.5,2.03,1.64
Free Cash Flow/Sales %,16.21,9.75,-5.31,3.69,0.81,5.07,7.84,5.77,1.57,11.14,9.12
Free Cash Flow/Net Income,2.06,1.24,-0.93,0.98,0.23,0.67,1.12,0.73,0.2,2.16,1.6
