Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,-398.57,,-198.98,159.24,,,,-17.29,-170.63,,
Asset Turnover (Average),0.01,0.01,0.01,0.01,,,,0.23,0.05,,0.01
Return on Assets %,-7.58,-6.93,-1.64,0.88,-2.18,-0.34,-8.52,-4.06,-8.67,-16.28,-18.71
Financial Leverage (Average),1.1,1.05,1.05,1.03,1.06,1.08,1.19,1.41,1.45,1.61,1.66
Return on Equity %,-8.33,-7.46,-1.72,0.91,-2.27,-0.36,-9.67,-5.27,-12.38,-24.7,-28.76
Return on Invested Capital %,-10.19,-8.16,-1.9,0.88,-2.03,-0.33,-8.31,-1.38,-6.15,-15.16,-19.34
Interest Coverage,,,,,-5.81,-19.25,-34.2,-0.82,-2.17,-2.24,-5.17
