Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,24.56,31.35,-42.85,14.19,36.43,-10.04,-4.7,-5.57,-10.67,-0.61,4.61
3-Year Average,,18.74,-2.22,-5.01,-3.8,11.91,5.36,-6.8,-7.02,-5.71,
5-Year Average,,,,1.78,7.81,1.02,-5.26,4.75,-0.27,-6.39,
10-Year Average,,,,,,,,,0.75,0.46,
