Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,24.43,71.13,45.73,20.13,65.98,
3-Year Average,,,,,,,,45.86,44.16,42.7,
5-Year Average,,,,,,,,,,43.98,
10-Year Average,,,,,,,,,,,
