Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,-1.38,-8.39,-32.06,77.53,8.86,-0.58,-12.87,28.19,12.5
3-Year Average,,-0.46,,,-15.02,3.38,9.5,24.32,-1.94,3.55,
5-Year Average,,-5.56,-5.38,-2.28,,,3.47,3.64,2.61,16.5,
10-Year Average,,10.48,8.41,5.6,-2.57,0.03,-1.15,-0.97,0.14,,
