Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,40.73
Net Margin %,,,,,,,-23.14,-1.95,-5.36,-4.29,2.61
Asset Turnover (Average),,,,,,,,0.7,0.64,0.56,0.64
Return on Assets %,,,,,,,,-1.37,-3.42,-2.41,1.67
Financial Leverage (Average),,,,,,,,1.76,1.74,2.96,2.94
Return on Equity %,,,,,,,,-2.42,-5.99,-5.3,4.49
Return on Invested Capital %,,,,,,,,0.48,-3.2,-1.87,5.23
Interest Coverage,,,,,,,-8.01,0.8,-0.25,0.33,7.67
