Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,54.66,-43.45,29.56,,,18.01,-41.77,-8.35,59.73,-87.81,
3-Year Average,,17.98,4.26,,-7.5,-10.33,,-14.28,-5.18,-43.71,
5-Year Average,,,,,-7.09,-11.98,-11.47,-17.39,,-34.28,
10-Year Average,,,,,,,,,2.72,-21.86,
