Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.97,4.74,-23.69,23.49,11.46,1.94,7.72,-11.19,-10.27,-2.33,17.48
3-Year Average,9.6,7.58,-3.92,-0.43,1.65,11.95,6.97,-0.83,-4.96,-8.02,
5-Year Average,11.55,11.39,1.03,3.25,4.07,2.32,2.9,6.06,-0.5,-3.09,
10-Year Average,4.74,6.64,2.65,2.82,5.95,6.84,7.06,3.52,1.36,0.43,
