Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,16.06,30.17,17.91,6.27,6.07,8.78,11.89,19.22,11.59,11.06,7.4
Free Cash Flow/Sales %,23.59,-4.73,14.61,-6.6,22.0,11.5,2.46,1.65,14.85,6.13,9.96
Free Cash Flow/Net Income,1.36,-0.14,3.66,-0.75,2.93,2.85,0.61,0.4,7.66,1.23,1.38
